,model_name,test_accuracy,test_precision,test_recall,test_f1
2,GradientBoostingClassifier,79.2,63.800000000000004,50.5,56.3
4,LogisticRegressionCV,79.0,63.0,50.2,55.900000000000006
0,AdaBoostClassifier,78.8,63.800000000000004,48.4,54.7
5,RidgeClassifierCV,78.7,65.10000000000001,42.8,51.6
7,XGBClassifier,77.9,59.9,51.6,55.400000000000006
6,KNeighborsClassifier,77.60000000000001,58.9,51.2,54.800000000000004
1,BaggingClassifier,74.9,53.300000000000004,44.2,48.3
3,RandomForestClassifier,74.0,51.2,47.699999999999996,49.3
